uniform_date,21_d_MA,raw_sales
11/29/2012,26491.30338,12568.00777
11/30/2012,25597.96595,99870.97254
12/1/2012,25719.53151,0
12/2/2012,23553.52596,0
12/3/2012,26123.98734,27659.30092
12/4/2012,27486.45229,39439.25077
12/5/2012,27486.45229,27620.80515
12/6/2012,27486.45229,22061.64146
12/7/2012,28018.20935,15458.03869
12/8/2012,27231.1349,0
12/9/2012,26781.35238,0
12/10/2012,27476.14473,31933.50785
12/11/2012,26112.64073,23867.02615
12/12/2012,26112.64073,14644.73546
12/13/2012,26112.64073,45675.12138
12/14/2012,24556.05669,24910.57685
12/15/2012,22336.53175,0
12/16/2012,21684.28732,0
12/17/2012,21069.10873,32752.31777
12/18/2012,25296.35236,19742.66862
12/19/2012,25296.35236,37680.05946
12/20/2012,25296.35236,24913.93323
12/21/2012,25933.33771,75642.55523
12/22/2012,24590.17173,0
12/23/2012,24787.04307,0
12/24/2012,22782.50863,0
12/25/2012,23040.15326,0
12/26/2012,23040.15326,16030.92331
12/27/2012,23040.15326,11130.39108
12/28/2012,22280.35709,90572.90646
12/29/2012,21691.44188,0
12/30/2012,20359.42254,0
12/31/2012,19391.20852,43252.24731
1/1/2013,15488.28949,0
1/2/2013,15488.28949,18142.98769
1/3/2013,15488.28949,10056.08623
1/4/2013,16183.11275,29488.72392
1/5/2013,16611.71208,0
1/6/2013,16873.17753,0
1/7/2013,17109.54519,19251.32431
1/8/2013,12527.16179,9278.098231
1/9/2013,12527.16179,14011.10038
1/10/2013,12527.16179,7709.514846
1/11/2013,11177.23135,6290.686385
1/12/2013,11859.99658,0
1/13/2013,12102.40838,0
1/14/2013,12403.97946,12346.47492
1/15/2013,11826.42474,7615.880308
1/16/2013,11826.42474,20676.96323
1/17/2013,11826.42474,15330.46269
1/18/2013,11435.47855,9147.478308
1/19/2013,11922.53343,0
1/20/2013,12779.4726,0
1/21/2013,13282.43315,19265.02162
1/22/2013,13556.11239,12132.21308
1/23/2013,13556.11239,22450.459
1/24/2013,13556.11239,15414.77238
1/25/2013,14199.96441,19226.02062
1/26/2013,15208.93253,0
1/27/2013,15064.79438,0
1/28/2013,14841.84959,12304.51115
1/29/2013,15287.68689,17932.68892
1/30/2013,15287.68689,29238.25023
1/31/2013,15287.68689,16646.73708
2/1/2013,16249.62932,11153.75585
2/2/2013,17599.36843,0
2/3/2013,17387.51689,0
2/4/2013,17695.75899,23787.23
2/5/2013,17415.62792,25544.46762
2/6/2013,17415.62792,18115.73938
2/7/2013,17415.62792,11368.90515
2/8/2013,17419.95773,17069.66423
2/9/2013,17612.72243,0
2/10/2013,16589.23833,0
2/11/2013,16675.43845,36357.99862
2/12/2013,18096.37485,36116.03869
2/13/2013,18096.37485,18686.02015
2/14/2013,18096.37485,20891.99738
2/15/2013,17251.65958,14248.30708
2/16/2013,17239.12325,0
2/17/2013,17019.12725,0
2/18/2013,17805.32977,12381.44838
2/19/2013,19194.72265,21357.96946
2/20/2013,19194.72265,11051.72508
2/21/2013,19194.72265,18178.44708
2/22/2013,18512.4166,36402.70262
2/23/2013,17683.733,0
